node_id,count,mean_velocity,std_velocity,min_velocity,max_velocity,skew_velocity
N01_LY_THUONG_KIET,9,32.7778,2.4845,30.0,35.0,-0.2236
N02_BA_THANG_HAI,3,33.0,0.0,33.0,33.0,0.0
N03_CMT8,9,34.0,0.0,34.0,34.0,0.0
N04_THANH_THAI,9,30.7778,1.0304,29.0,32.0,-0.7649
N05_TO_HIEN_THANH,9,30.2222,0.4157,30.0,31.0,1.3363
N06_NGUYEN_TRI_PHUONG,9,33.7778,3.7647,30.0,43.0,1.4351
N07_SU_VAN_HANH,9,28.6667,3.8006,22.0,33.0,-0.9081
N08_DIEN_BIEN_PHU,9,41.0,0.0,41.0,41.0,0.0
N09_CONG_HOA,9,37.3333,1.4907,36.0,39.0,0.2236
N10_TRUONG_CHINH,9,32.6667,6.2539,15.0,35.0,-2.4633
